dni,nombre,edad,genero,altura
10000000,Persona0,40,M,1.5
10000001,Persona1,40,F,1.51
10000002,Persona2,40,M,1.52
10000003,Persona3,40,F,1.53
10000004,Persona4,40,M,1.54
10000005,Persona5,40,F,1.55
10000006,Persona6,40,M,1.56
10000007,Persona7,40,F,1.57
10000008,Persona8,40,M,1.58
10000009,Persona9,40,F,1.59
10000010,Persona10,40,M,1.6
10000011,Persona11,40,F,1.61
10000012,Persona12,40,M,1.62
10000013,Persona13,40,F,1.63
10000014,Persona14,40,M,1.64
10000015,Persona15,40,F,1.65
10000016,Persona16,40,M,1.66
10000017,Persona17,40,F,1.67
10000018,Persona18,40,M,1.68
10000019,Persona19,40,F,1.69
10000020,Persona20,40,M,1.7
10000021,Persona21,40,F,1.71
10000022,Persona22,40,M,1.72
10000023,Persona23,40,F,1.73
10000024,Persona24,40,M,1.74
10000025,Persona25,40,F,1.75
10000026,Persona26,40,M,1.76
10000027,Persona27,40,F,1.77
10000028,Persona28,40,M,1.78
10000029,Persona29,40,F,1.79
10000030,Persona30,40,M,1.8
10000031,Persona31,40,F,1.81
10000032,Persona32,40,M,1.82
10000033,Persona33,40,F,1.83
10000034,Persona34,40,M,1.84
10000035,Persona35,40,F,1.85
10000036,Persona36,40,M,1.86
10000037,Persona37,40,F,1.87
10000038,Persona38,40,M,1.88
10000039,Persona39,40,F,1.89
10000040,Persona40,40,M,1.9
10000041,Persona41,40,F,1.91
10000042,Persona42,40,M,1.92
10000043,Persona43,40,F,1.93
10000044,Persona44,40,M,1.94
10000045,Persona45,40,F,1.95
10000046,Persona46,40,M,1.96
10000047,Persona47,40,F,1.97
10000048,Persona48,40,M,1.98
10000049,Persona49,40,F,1.99
10000050,Persona50,40,M,1.5
10000051,Persona51,40,F,1.51
10000052,Persona52,40,M,1.52
10000053,Persona53,40,F,1.53
10000054,Persona54,40,M,1.54
10000055,Persona55,40,F,1.55
10000056,Persona56,40,M,1.56
10000057,Persona57,40,F,1.57
10000058,Persona58,40,M,1.58
10000059,Persona59,40,F,1.59
10000060,Persona60,40,M,1.6
10000061,Persona61,40,F,1.61
10000062,Persona62,40,M,1.62
10000063,Persona63,40,F,1.63
10000064,Persona64,40,M,1.64
10000065,Persona65,40,F,1.65
10000066,Persona66,40,M,1.66
10000067,Persona67,40,F,1.67
10000068,Persona68,40,M,1.68
10000069,Persona69,40,F,1.69
10000070,Persona70,40,M,1.7
10000071,Persona71,40,F,1.71
10000072,Persona72,40,M,1.72
10000073,Persona73,40,F,1.73
10000074,Persona74,40,M,1.74
10000075,Persona75,40,F,1.75
