dni,nombre,edad,genero,altura
86563306,Fernando,32,M,1.8
82595134,Ana,27,F,1.62
62455946,Carmen,18,F,1.62
94027669,Sofía,70,F,1.79
26549603,Sofía,68,F,1.76
25196847,Carmen,65,F,1.49
90506283,Carmen,42,F,1.48
93841281,Pedro,76,M,1.77
21484333,Ricardo,37,M,1.75
61422384,Carlos,66,M,1.61
60582469,Lidia,26,F,1.46
25420593,Ricardo,35,M,1.84
31099317,Carlos,38,M,1.92
12555919,Carlos,40,M,1.63
19892510,Andrés,72,M,1.88
33609964,Elena,43,F,1.5
53165277,Lucía,50,F,1.77
37124589,Andrés,59,M,1.89
72291627,Luis,77,M,1.65
71624819,Carmen,33,F,1.55
41761434,Pedro,23,M,1.93
35180492,Lucía,55,F,1.51
98845070,Fernando,61,M,1.74
41742276,Jorge,27,M,1.77
82272132,Lucía,21,F,1.8
65166178,Jorge,40,M,1.75
24146330,Sofía,70,F,1.78
76214701,Lidia,52,F,1.47
94630257,María,43,F,1.47
25923518,Ricardo,64,M,1.86
33604705,Elena,20,F,1.8
64421311,Miguel,71,M,1.67
40982572,Carmen,68,F,1.58
58547569,Patricia,52,F,1.57
94293334,Luis,40,M,1.71
76873747,Carmen,70,F,1.62
43117314,Elena,57,F,1.74
90899088,Diego,39,M,1.78
41414925,Lucía,51,F,1.78
22719822,Lidia,20,F,1.5
31142234,Sofía,62,F,1.47
20968514,Andrés,74,M,1.92
21227546,Pedro,76,M,1.78
79404055,Luis,20,M,1.73
85462022,Sofía,29,F,1.57
82568713,Pedro,38,M,1.8
49569397,Rosa,33,F,1.65
30501761,Carlos,26,M,1.58
15879554,María,58,F,1.46
31142713,Jorge,67,M,1.75
87105467,Patricia,55,F,1.45
66326729,Lucía,18,F,1.55
10768465,Rosa,64,F,1.55
39545541,Lucía,63,F,1.78
34574910,Lidia,71,F,1.5
44856596,Jorge,73,M,1.58
85193261,Carlos,30,M,1.93
81576946,Pedro,37,M,1.64
55932975,Lidia,54,F,1.6
30323528,Lucía,78,F,1.64
59612735,Carlos,21,M,1.94
11707151,Lucía,22,F,1.68
51966397,Jorge,51,M,1.68
18813533,María,41,F,1.48
96882297,Rosa,47,F,1.58
15661138,Carlos,61,M,1.59
78334686,Sofía,56,F,1.71
59055612,Carmen,75,F,1.8
89466884,María,30,F,1.63
45584923,Ricardo,60,M,1.7
30005779,Lidia,75,F,1.55
24181746,Elena,56,F,1.45
99691970,Luis,30,M,1.84
87910810,Carmen,73,F,1.76
73682737,Diego,55,M,1.65
20588880,Pedro,68,M,1.62
94384085,Pedro,28,M,1.71
22391396,Patricia,20,F,1.79
