=== STDOUT ===
Parseo exitoso
SequentialFile scanAll
id	dni	nombre	edad	genero	altura	
----------------------------------------
1	10000000	Persona0	40	M	1.500000	
2	10000001	Persona1	40	F	1.510000	
3	10000002	Persona2	40	M	1.520000	
4	10000003	Persona3	40	F	1.530000	
5	10000004	Persona4	40	M	1.540000	
6	10000005	Persona5	40	F	1.550000	
7	10000006	Persona6	40	M	1.560000	
8	10000007	Persona7	40	F	1.570000	
9	10000008	Persona8	40	M	1.580000	
10	10000009	Persona9	40	F	1.590000	
11	10000010	Persona10	40	M	1.600000	
12	10000011	Persona11	40	F	1.610000	
13	10000012	Persona12	40	M	1.620000	
14	10000013	Persona13	40	F	1.630000	
15	10000014	Persona14	40	M	1.640000	
16	10000015	Persona15	40	F	1.650000	
17	10000016	Persona16	40	M	1.660000	
18	10000017	Persona17	40	F	1.670000	
19	10000018	Persona18	40	M	1.680000	
20	10000019	Persona19	40	F	1.690000	
21	10000020	Persona20	40	M	1.700000	
22	10000021	Persona21	40	F	1.710000	
23	10000022	Persona22	40	M	1.720000	
24	10000023	Persona23	40	F	1.730000	
25	10000024	Persona24	40	M	1.740000	
26	10000025	Persona25	40	F	1.750000	
27	10000026	Persona26	40	M	1.760000	
28	10000027	Persona27	40	F	1.770000	
29	10000028	Persona28	40	M	1.780000	
30	10000029	Persona29	40	F	1.790000	
31	10000030	Persona30	40	M	1.800000	
32	10000031	Persona31	40	F	1.810000	
33	10000032	Persona32	40	M	1.820000	
34	10000033	Persona33	40	F	1.830000	
35	10000034	Persona34	40	M	1.840000	
36	10000035	Persona35	40	F	1.850000	
37	10000036	Persona36	40	M	1.860000	
38	10000037	Persona37	40	F	1.870000	
39	10000038	Persona38	40	M	1.880000	
40	10000039	Persona39	40	F	1.890000	
41	10000040	Persona40	40	M	1.900000	
42	10000041	Persona41	40	F	1.910000	
43	10000042	Persona42	40	M	1.920000	
44	10000043	Persona43	40	F	1.930000	
45	10000044	Persona44	40	M	1.940000	
46	10000045	Persona45	40	F	1.950000	
47	10000046	Persona46	40	M	1.960000	
48	10000047	Persona47	40	F	1.970000	
49	10000048	Persona48	40	M	1.980000	
50	10000049	Persona49	40	F	1.990000	
51	10000050	Persona50	40	M	1.500000	
52	10000051	Persona51	40	F	1.510000	
53	10000052	Persona52	40	M	1.520000	
54	10000053	Persona53	40	F	1.530000	
55	10000054	Persona54	40	M	1.540000	
56	10000055	Persona55	40	F	1.550000	
57	10000056	Persona56	40	M	1.560000	
58	10000057	Persona57	40	F	1.570000	
59	10000058	Persona58	40	M	1.580000	
60	10000059	Persona59	40	F	1.590000	
61	10000060	Persona60	40	M	1.600000	
62	10000061	Persona61	40	F	1.610000	
63	10000062	Persona62	40	M	1.620000	
64	10000063	Persona63	40	F	1.630000	
65	10000064	Persona64	40	M	1.640000	
66	10000065	Persona65	40	F	1.650000	
67	10000066	Persona66	40	M	1.660000	
68	10000067	Persona67	40	F	1.670000	
69	10000068	Persona68	40	M	1.680000	
70	10000069	Persona69	40	F	1.690000	
71	10000070	Persona70	40	M	1.700000	
72	10000071	Persona71	40	F	1.710000	
73	10000072	Persona72	40	M	1.720000	
74	10000073	Persona73	40	F	1.730000	
75	10000074	Persona74	40	M	1.740000	
76	10000075	Persona75	40	F	1.750000	
77	10000076	Persona76	40	M	1.760000	
78	10000077	Persona77	40	F	1.770000	
79	10000078	Persona78	40	M	1.780000	
80	10000079	Persona79	40	F	1.790000	
81	10000080	Persona80	40	M	1.800000	
82	10000081	Persona81	40	F	1.810000	
83	10000082	Persona82	40	M	1.820000	
84	10000083	Persona83	40	F	1.830000	
85	10000084	Persona84	40	M	1.840000	
86	10000085	Persona85	40	F	1.850000	
87	10000086	Persona86	40	M	1.860000	
88	10000087	Persona87	40	F	1.870000	
89	10000088	Persona88	40	M	1.880000	
90	10000089	Persona89	40	F	1.890000	
91	10000090	Persona90	40	M	1.900000	
92	10000091	Persona91	40	F	1.910000	
93	10000092	Persona92	40	M	1.920000	
94	10000093	Persona93	40	F	1.930000	
95	10000094	Persona94	40	M	1.940000	
96	10000095	Persona95	40	F	1.950000	
97	10000096	Persona96	40	M	1.960000	
98	10000097	Persona97	40	F	1.970000	
99	10000098	Persona98	40	M	1.980000	
100	10000099	Persona99	40	F	1.990000	
101	10000100	Persona10	40	M	1.500000	
102	10000101	Persona10	40	F	1.510000	
103	10000102	Persona10	40	M	1.520000	
104	10000103	Persona10	40	F	1.530000	
105	10000104	Persona10	40	M	1.540000	
106	10000105	Persona10	40	F	1.550000	
107	10000106	Persona10	40	M	1.560000	
108	10000107	Persona10	40	F	1.570000	
109	10000108	Persona10	40	M	1.580000	
110	10000109	Persona10	40	F	1.590000	
111	10000110	Persona11	40	M	1.600000	
112	10000111	Persona11	40	F	1.610000	
113	10000112	Persona11	40	M	1.620000	
114	10000113	Persona11	40	F	1.630000	
115	10000114	Persona11	40	M	1.640000	
116	10000115	Persona11	40	F	1.650000	
117	10000116	Persona11	40	M	1.660000	
118	10000117	Persona11	40	F	1.670000	
119	10000118	Persona11	40	M	1.680000	
120	10000119	Persona11	40	F	1.690000	
121	10000120	Persona12	40	M	1.700000	
122	10000121	Persona12	40	F	1.710000	
123	10000122	Persona12	40	M	1.720000	
124	10000123	Persona12	40	F	1.730000	
125	10000124	Persona12	40	M	1.740000	
126	10000125	Persona12	40	F	1.750000	
127	10000126	Persona12	40	M	1.760000	
128	10000127	Persona12	40	F	1.770000	
129	10000128	Persona12	40	M	1.780000	
130	10000129	Persona12	40	F	1.790000	
131	10000130	Persona13	40	M	1.800000	
132	10000131	Persona13	40	F	1.810000	
133	10000132	Persona13	40	M	1.820000	
134	10000133	Persona13	40	F	1.830000	
135	10000134	Persona13	40	M	1.840000	
136	10000135	Persona13	40	F	1.850000	
137	10000136	Persona13	40	M	1.860000	
138	10000137	Persona13	40	F	1.870000	
139	10000138	Persona13	40	M	1.880000	
140	10000139	Persona13	40	F	1.890000	
141	10000140	Persona14	40	M	1.900000	
142	10000141	Persona14	40	F	1.910000	
143	10000142	Persona14	40	M	1.920000	
144	10000143	Persona14	40	F	1.930000	
145	10000144	Persona14	40	M	1.940000	
146	10000145	Persona14	40	F	1.950000	
147	10000146	Persona14	40	M	1.960000	
148	10000147	Persona14	40	F	1.970000	
149	10000148	Persona14	40	M	1.980000	
150	10000149	Persona14	40	F	1.990000	
151	10000150	Persona15	40	M	1.500000	
152	10000151	Persona15	40	F	1.510000	
153	10000152	Persona15	40	M	1.520000	
154	10000153	Persona15	40	F	1.530000	
155	10000154	Persona15	40	M	1.540000	
156	10000155	Persona15	40	F	1.550000	
157	10000156	Persona15	40	M	1.560000	
158	10000157	Persona15	40	F	1.570000	
159	10000158	Persona15	40	M	1.580000	
160	10000159	Persona15	40	F	1.590000	
161	10000160	Persona16	40	M	1.600000	
162	10000161	Persona16	40	F	1.610000	
163	10000162	Persona16	40	M	1.620000	
164	10000163	Persona16	40	F	1.630000	
165	10000164	Persona16	40	M	1.640000	
166	10000165	Persona16	40	F	1.650000	
167	10000166	Persona16	40	M	1.660000	
168	10000167	Persona16	40	F	1.670000	
169	10000168	Persona16	40	M	1.680000	
170	10000169	Persona16	40	F	1.690000	
171	10000170	Persona17	40	M	1.700000	
172	10000171	Persona17	40	F	1.710000	
173	10000172	Persona17	40	M	1.720000	
174	10000173	Persona17	40	F	1.730000	
175	10000174	Persona17	40	M	1.740000	
176	10000175	Persona17	40	F	1.750000	
177	10000176	Persona17	40	M	1.760000	
178	10000177	Persona17	40	F	1.770000	
179	10000178	Persona17	40	M	1.780000	
180	10000179	Persona17	40	F	1.790000	
181	10000180	Persona18	40	M	1.800000	
182	10000181	Persona18	40	F	1.810000	
183	10000182	Persona18	40	M	1.820000	
184	10000183	Persona18	40	F	1.830000	
185	10000184	Persona18	40	M	1.840000	
186	10000185	Persona18	40	F	1.850000	
187	10000186	Persona18	40	M	1.860000	
188	10000187	Persona18	40	F	1.870000	
189	10000188	Persona18	40	M	1.880000	
190	10000189	Persona18	40	F	1.890000	
191	10000190	Persona19	40	M	1.900000	
192	10000191	Persona19	40	F	1.910000	
193	10000192	Persona19	40	M	1.920000	
194	10000193	Persona19	40	F	1.930000	
195	10000194	Persona19	40	M	1.940000	
196	10000195	Persona19	40	F	1.950000	
197	10000196	Persona19	40	M	1.960000	
198	10000197	Persona19	40	F	1.970000	
199	10000198	Persona19	40	M	1.980000	
200	10000199	Persona19	40	F	1.990000	
201	10000200	Persona20	40	M	1.500000	
202	10000201	Persona20	40	F	1.510000	
203	10000202	Persona20	40	M	1.520000	
204	10000203	Persona20	40	F	1.530000	
205	10000204	Persona20	40	M	1.540000	
206	10000205	Persona20	40	F	1.550000	
207	10000206	Persona20	40	M	1.560000	
208	10000207	Persona20	40	F	1.570000	
209	10000208	Persona20	40	M	1.580000	
210	10000209	Persona20	40	F	1.590000	
